Delta,Theta,Alpha,Beta,Gamma,NumNotesInScale,NumOctaves,LastNoteIndex,NextNote
0.197,0.021,92.24,0.047,8.619,12.0,7.0,3.0,6.0
0.197,0.021,92.24,8.619,0.047,5.0,1.0,2.0,1.0
0.197,0.021,92.24,8.619,0.047,7.0,1.0,4.0,3.0
0.197,0.021,92.24,8.619,0.047,12.0,1.0,7.0,6.0
0.197,0.021,92.24,8.619,0.047,5.0,2.0,1.0,0.0
0.197,0.021,92.24,8.619,0.047,7.0,2.0,1.0,1.0
0.197,0.021,92.24,8.619,0.047,12.0,2.0,8.0,10.0
0.197,0.021,92.24,8.619,0.047,5.0,3.0,3.0,2.0
0.197,0.021,92.24,8.619,0.047,7.0,3.0,5.0,5.0
0.197,0.021,92.24,8.619,0.047,12.0,3.0,4.0,1.0
0.197,0.021,92.24,8.619,0.047,5.0,4.0,2.0,1.0
0.197,0.021,92.24,8.619,0.047,7.0,4.0,4.0,5.0
0.197,0.021,92.24,8.619,0.047,12.0,4.0,8.0,4.0
0.197,0.021,92.24,8.619,0.047,5.0,5.0,2.0,2.0
0.197,0.021,92.24,8.619,0.047,7.0,5.0,1.0,4.0
0.197,0.021,92.24,8.619,0.047,12.0,5.0,10.0,10.0
0.197,0.021,92.24,8.619,0.047,5.0,6.0,2.0,2.0
0.197,0.021,92.24,8.619,0.047,7.0,6.0,5.0,5.0
0.197,0.021,92.24,8.619,0.047,12.0,6.0,6.0,9.0
0.197,0.021,92.24,8.619,0.047,5.0,7.0,0.0,2.0
0.197,0.021,92.24,8.619,0.047,7.0,7.0,5.0,3.0
0.197,0.021,92.24,8.619,0.047,12.0,7.0,8.0,6.0
0.197,0.047,0.021,8.619,92.24,5.0,1.0,2.0,0.0
0.197,0.047,0.021,8.619,92.24,7.0,1.0,3.0,2.0
0.197,0.047,0.021,8.619,92.24,12.0,1.0,2.0,9.0
0.197,0.047,0.021,8.619,92.24,5.0,2.0,1.0,1.0
0.197,0.047,0.021,8.619,92.24,7.0,2.0,0.0,4.0
0.197,0.047,0.021,8.619,92.24,12.0,2.0,3.0,5.0
0.197,0.047,0.021,8.619,92.24,5.0,3.0,3.0,0.0
0.197,0.047,0.021,8.619,92.24,7.0,3.0,0.0,2.0
0.197,0.047,0.021,8.619,92.24,12.0,3.0,10.0,6.0
0.197,0.047,0.021,8.619,92.24,5.0,4.0,2.0,1.0
0.197,0.047,0.021,8.619,92.24,7.0,4.0,4.0,4.0
0.197,0.047,0.021,8.619,92.24,12.0,4.0,2.0,6.0
0.197,0.047,0.021,8.619,92.24,5.0,5.0,2.0,1.0
0.197,0.047,0.021,8.619,92.24,7.0,5.0,1.0,3.0
0.197,0.047,0.021,8.619,92.24,12.0,5.0,2.0,5.0
0.197,0.047,0.021,8.619,92.24,5.0,6.0,3.0,2.0
0.197,0.047,0.021,8.619,92.24,7.0,6.0,1.0,5.0
0.197,0.047,0.021,8.619,92.24,12.0,6.0,2.0,6.0
0.197,0.047,0.021,8.619,92.24,5.0,7.0,0.0,0.0
0.197,0.047,0.021,8.619,92.24,7.0,7.0,1.0,4.0
0.197,0.047,0.021,8.619,92.24,12.0,7.0,5.0,3.0
0.197,0.047,0.021,92.24,8.619,5.0,1.0,0.0,2.0
0.197,0.047,0.021,92.24,8.619,7.0,1.0,3.0,3.0
0.197,0.047,0.021,92.24,8.619,12.0,1.0,4.0,4.0
0.197,0.047,0.021,92.24,8.619,5.0,2.0,2.0,0.0
0.197,0.047,0.021,92.24,8.619,7.0,2.0,0.0,0.0
0.197,0.047,0.021,92.24,8.619,12.0,2.0,8.0,0.0
0.197,0.047,0.021,92.24,8.619,5.0,3.0,2.0,0.0
0.197,0.047,0.021,92.24,8.619,7.0,3.0,4.0,5.0
0.197,0.047,0.021,92.24,8.619,12.0,3.0,9.0,5.0
0.197,0.047,0.021,92.24,8.619,5.0,4.0,3.0,0.0
0.197,0.047,0.021,92.24,8.619,7.0,4.0,1.0,5.0
0.197,0.047,0.021,92.24,8.619,12.0,4.0,8.0,7.0
0.197,0.047,0.021,92.24,8.619,5.0,5.0,0.0,2.0
0.197,0.047,0.021,92.24,8.619,7.0,5.0,3.0,5.0
0.197,0.047,0.021,92.24,8.619,12.0,5.0,1.0,7.0
0.197,0.047,0.021,92.24,8.619,5.0,6.0,3.0,2.0
0.197,0.047,0.021,92.24,8.619,7.0,6.0,3.0,0.0
0.197,0.047,0.021,92.24,8.619,12.0,6.0,6.0,5.0
0.197,0.047,0.021,92.24,8.619,5.0,7.0,2.0,0.0
0.197,0.047,0.021,92.24,8.619,7.0,7.0,0.0,1.0
0.197,0.047,0.021,92.24,8.619,12.0,7.0,7.0,10.0
0.197,0.047,8.619,0.021,92.24,5.0,1.0,3.0,3.0
0.197,0.047,8.619,0.021,92.24,7.0,1.0,5.0,0.0
0.197,0.047,8.619,0.021,92.24,12.0,1.0,2.0,6.0
0.197,0.047,8.619,0.021,92.24,5.0,2.0,2.0,0.0
0.197,0.047,8.619,0.021,92.24,7.0,2.0,5.0,1.0
0.197,0.047,8.619,0.021,92.24,12.0,2.0,2.0,7.0
0.197,0.047,8.619,0.021,92.24,5.0,3.0,2.0,2.0
0.197,0.047,8.619,0.021,92.24,7.0,3.0,2.0,5.0
0.197,0.047,8.619,0.021,92.24,12.0,3.0,0.0,6.0
0.197,0.047,8.619,0.021,92.24,5.0,4.0,3.0,3.0
0.197,0.047,8.619,0.021,92.24,7.0,4.0,4.0,1.0
0.197,0.047,8.619,0.021,92.24,12.0,4.0,2.0,0.0
0.197,0.047,8.619,0.021,92.24,5.0,5.0,0.0,3.0
0.197,0.047,8.619,0.021,92.24,7.0,5.0,3.0,4.0
0.197,0.047,8.619,0.021,92.24,12.0,5.0,4.0,2.0
0.197,0.047,8.619,0.021,92.24,5.0,6.0,3.0,2.0
0.197,0.047,8.619,0.021,92.24,7.0,6.0,1.0,2.0
0.197,0.047,8.619,0.021,92.24,12.0,6.0,3.0,1.0
0.197,0.047,8.619,0.021,92.24,5.0,7.0,1.0,0.0
0.197,0.047,8.619,0.021,92.24,7.0,7.0,3.0,0.0
0.197,0.047,8.619,0.021,92.24,12.0,7.0,8.0,9.0
0.197,0.047,8.619,92.24,0.021,5.0,1.0,0.0,3.0
0.197,0.047,8.619,92.24,0.021,7.0,1.0,3.0,3.0
0.197,0.047,8.619,92.24,0.021,12.0,1.0,2.0,1.0
0.197,0.047,8.619,92.24,0.021,5.0,2.0,1.0,0.0
0.197,0.047,8.619,92.24,0.021,7.0,2.0,4.0,2.0
0.197,0.047,8.619,92.24,0.021,12.0,2.0,5.0,4.0
0.197,0.047,8.619,92.24,0.021,5.0,3.0,2.0,0.0
0.197,0.047,8.619,92.24,0.021,7.0,3.0,1.0,2.0
0.197,0.047,8.619,92.24,0.021,12.0,3.0,10.0,8.0
0.197,0.047,8.619,92.24,0.021,5.0,4.0,2.0,0.0
0.197,0.047,8.619,92.24,0.021,7.0,4.0,1.0,5.0
0.197,0.047,8.619,92.24,0.021,12.0,4.0,7.0,6.0
0.197,0.047,8.619,92.24,0.021,5.0,5.0,3.0,3.0
0.197,0.047,8.619,92.24,0.021,7.0,5.0,5.0,3.0
0.197,0.047,8.619,92.24,0.021,12.0,5.0,5.0,4.0
0.197,0.047,8.619,92.24,0.021,5.0,6.0,2.0,3.0
0.197,0.047,8.619,92.24,0.021,7.0,6.0,1.0,0.0
0.197,0.047,8.619,92.24,0.021,12.0,6.0,9.0,3.0
0.197,0.047,8.619,92.24,0.021,5.0,7.0,0.0,0.0
0.197,0.047,8.619,92.24,0.021,7.0,7.0,3.0,5.0
0.197,0.047,8.619,92.24,0.021,12.0,7.0,1.0,1.0
0.197,0.047,92.24,0.021,8.619,5.0,1.0,2.0,0.0
0.197,0.047,92.24,0.021,8.619,7.0,1.0,1.0,5.0
0.197,0.047,92.24,0.021,8.619,12.0,1.0,10.0,2.0
0.197,0.047,92.24,0.021,8.619,5.0,2.0,3.0,2.0
0.197,0.047,92.24,0.021,8.619,7.0,2.0,3.0,4.0
0.197,0.047,92.24,0.021,8.619,12.0,2.0,8.0,3.0
0.197,0.047,92.24,0.021,8.619,5.0,3.0,0.0,0.0
0.197,0.047,92.24,0.021,8.619,7.0,3.0,1.0,0.0
0.197,0.047,92.24,0.021,8.619,12.0,3.0,6.0,10.0
0.197,0.047,92.24,0.021,8.619,5.0,4.0,3.0,0.0
0.197,0.047,92.24,0.021,8.619,7.0,4.0,0.0,2.0
0.197,0.047,92.24,0.021,8.619,12.0,4.0,0.0,7.0
0.197,0.047,92.24,0.021,8.619,5.0,5.0,3.0,1.0
0.197,0.047,92.24,0.021,8.619,7.0,5.0,3.0,1.0
0.197,0.047,92.24,0.021,8.619,12.0,5.0,5.0,1.0
0.197,0.047,92.24,0.021,8.619,5.0,6.0,2.0,1.0
0.197,0.047,92.24,0.021,8.619,7.0,6.0,4.0,1.0
0.197,0.047,92.24,0.021,8.619,12.0,6.0,9.0,10.0
0.197,0.047,92.24,0.021,8.619,5.0,7.0,0.0,0.0
0.197,0.047,92.24,0.021,8.619,7.0,7.0,0.0,4.0
0.197,0.047,92.24,0.021,8.619,12.0,7.0,4.0,6.0
0.197,0.047,92.24,8.619,0.021,5.0,1.0,3.0,2.0
0.197,0.047,92.24,8.619,0.021,7.0,1.0,5.0,0.0
0.197,0.047,92.24,8.619,0.021,12.0,1.0,5.0,7.0
0.197,0.047,92.24,8.619,0.021,5.0,2.0,3.0,3.0
0.197,0.047,92.24,8.619,0.021,7.0,2.0,0.0,4.0
0.197,0.047,92.24,8.619,0.021,12.0,2.0,6.0,7.0
0.197,0.047,92.24,8.619,0.021,5.0,3.0,1.0,1.0
0.197,0.047,92.24,8.619,0.021,7.0,3.0,1.0,5.0
0.197,0.047,92.24,8.619,0.021,12.0,3.0,2.0,1.0
0.197,0.047,92.24,8.619,0.021,5.0,4.0,1.0,1.0
0.197,0.047,92.24,8.619,0.021,7.0,4.0,0.0,2.0
0.197,0.047,92.24,8.619,0.021,12.0,4.0,3.0,10.0
0.197,0.047,92.24,8.619,0.021,5.0,5.0,1.0,3.0
0.197,0.047,92.24,8.619,0.021,7.0,5.0,2.0,4.0
0.197,0.047,92.24,8.619,0.021,12.0,5.0,7.0,0.0
0.197,0.047,92.24,8.619,0.021,5.0,6.0,1.0,2.0
0.197,0.047,92.24,8.619,0.021,7.0,6.0,5.0,0.0
0.197,0.047,92.24,8.619,0.021,12.0,6.0,5.0,6.0
0.197,0.047,92.24,8.619,0.021,5.0,7.0,1.0,2.0
0.197,0.047,92.24,8.619,0.021,7.0,7.0,4.0,2.0
0.197,0.047,92.24,8.619,0.021,12.0,7.0,1.0,8.0
0.197,8.619,0.021,0.047,92.24,5.0,1.0,3.0,3.0
0.197,8.619,0.021,0.047,92.24,7.0,1.0,5.0,5.0
0.197,8.619,0.021,0.047,92.24,12.0,1.0,3.0,9.0
0.197,8.619,0.021,0.047,92.24,5.0,2.0,2.0,2.0
0.197,8.619,0.021,0.047,92.24,7.0,2.0,4.0,3.0
0.197,8.619,0.021,0.047,92.24,12.0,2.0,9.0,1.0
0.197,8.619,0.021,0.047,92.24,5.0,3.0,0.0,0.0
0.197,8.619,0.021,0.047,92.24,7.0,3.0,2.0,3.0
0.197,8.619,0.021,0.047,92.24,12.0,3.0,9.0,3.0
0.197,8.619,0.021,0.047,92.24,5.0,4.0,2.0,3.0
0.197,8.619,0.021,0.047,92.24,7.0,4.0,2.0,0.0
0.197,8.619,0.021,0.047,92.24,12.0,4.0,9.0,1.0
0.197,8.619,0.021,0.047,92.24,5.0,5.0,0.0,3.0
0.197,8.619,0.021,0.047,92.24,7.0,5.0,1.0,3.0
0.197,8.619,0.021,0.047,92.24,12.0,5.0,0.0,5.0
0.197,8.619,0.021,0.047,92.24,5.0,6.0,0.0,2.0
0.197,8.619,0.021,0.047,92.24,7.0,6.0,5.0,2.0
0.197,8.619,0.021,0.047,92.24,12.0,6.0,6.0,3.0
0.197,8.619,0.021,0.047,92.24,5.0,7.0,0.0,1.0
0.197,8.619,0.021,0.047,92.24,7.0,7.0,4.0,0.0
0.197,8.619,0.021,0.047,92.24,12.0,7.0,6.0,9.0
0.197,8.619,0.021,92.24,0.047,5.0,1.0,1.0,1.0
0.197,8.619,0.021,92.24,0.047,7.0,1.0,2.0,1.0
0.197,8.619,0.021,92.24,0.047,12.0,1.0,3.0,9.0
0.197,8.619,0.021,92.24,0.047,5.0,2.0,2.0,2.0
0.197,8.619,0.021,92.24,0.047,7.0,2.0,1.0,4.0
0.197,8.619,0.021,92.24,0.047,12.0,2.0,0.0,0.0
0.197,8.619,0.021,92.24,0.047,5.0,3.0,3.0,3.0
0.197,8.619,0.021,92.24,0.047,7.0,3.0,5.0,1.0
0.197,8.619,0.021,92.24,0.047,12.0,3.0,1.0,3.0
0.197,8.619,0.021,92.24,0.047,5.0,4.0,2.0,3.0
0.197,8.619,0.021,92.24,0.047,7.0,4.0,2.0,2.0
0.197,8.619,0.021,92.24,0.047,12.0,4.0,9.0,8.0
0.197,8.619,0.021,92.24,0.047,5.0,5.0,3.0,3.0
0.197,8.619,0.021,92.24,0.047,7.0,5.0,1.0,1.0
0.197,8.619,0.021,92.24,0.047,12.0,5.0,7.0,10.0
0.197,8.619,0.021,92.24,0.047,5.0,6.0,1.0,0.0
0.197,8.619,0.021,92.24,0.047,7.0,6.0,5.0,0.0
0.197,8.619,0.021,92.24,0.047,12.0,6.0,1.0,6.0
0.197,8.619,0.021,92.24,0.047,5.0,7.0,0.0,2.0
0.197,8.619,0.021,92.24,0.047,7.0,7.0,1.0,0.0
0.197,8.619,0.021,92.24,0.047,12.0,7.0,0.0,1.0
0.197,8.619,0.047,0.021,92.24,5.0,1.0,2.0,0.0
0.197,8.619,0.047,0.021,92.24,7.0,1.0,4.0,0.0
0.197,8.619,0.047,0.021,92.24,12.0,1.0,9.0,4.0
0.197,8.619,0.047,0.021,92.24,5.0,2.0,1.0,0.0
0.197,8.619,0.047,0.021,92.24,7.0,2.0,3.0,2.0
0.197,8.619,0.047,0.021,92.24,12.0,2.0,0.0,2.0
0.197,8.619,0.047,0.021,92.24,5.0,3.0,3.0,0.0
0.197,8.619,0.047,0.021,92.24,7.0,3.0,4.0,1.0
0.197,8.619,0.047,0.021,92.24,12.0,3.0,4.0,0.0
0.197,8.619,0.047,0.021,92.24,5.0,4.0,0.0,3.0
0.197,8.619,0.047,0.021,92.24,7.0,4.0,0.0,0.0
0.197,8.619,0.047,0.021,92.24,12.0,4.0,4.0,8.0
0.197,8.619,0.047,0.021,92.24,5.0,5.0,3.0,2.0
0.197,8.619,0.047,0.021,92.24,7.0,5.0,4.0,3.0
0.197,8.619,0.047,0.021,92.24,12.0,5.0,3.0,4.0
0.197,8.619,0.047,0.021,92.24,5.0,6.0,1.0,2.0
0.197,8.619,0.047,0.021,92.24,7.0,6.0,5.0,2.0
0.197,8.619,0.047,0.021,92.24,12.0,6.0,3.0,4.0
0.197,8.619,0.047,0.021,92.24,5.0,7.0,0.0,3.0
0.197,8.619,0.047,0.021,92.24,7.0,7.0,2.0,4.0
0.197,8.619,0.047,0.021,92.24,12.0,7.0,6.0,6.0
0.197,8.619,0.047,92.24,0.021,5.0,1.0,1.0,0.0
0.197,8.619,0.047,92.24,0.021,7.0,1.0,5.0,3.0
0.197,8.619,0.047,92.24,0.021,12.0,1.0,6.0,7.0
0.197,8.619,0.047,92.24,0.021,5.0,2.0,0.0,2.0
0.197,8.619,0.047,92.24,0.021,7.0,2.0,4.0,2.0
0.197,8.619,0.047,92.24,0.021,12.0,2.0,8.0,10.0
0.197,8.619,0.047,92.24,0.021,5.0,3.0,0.0,0.0
0.197,8.619,0.047,92.24,0.021,7.0,3.0,5.0,4.0
0.197,8.619,0.047,92.24,0.021,12.0,3.0,10.0,8.0
0.197,8.619,0.047,92.24,0.021,5.0,4.0,0.0,0.0
0.197,8.619,0.047,92.24,0.021,7.0,4.0,4.0,3.0
0.197,8.619,0.047,92.24,0.021,12.0,4.0,4.0,1.0
0.197,8.619,0.047,92.24,0.021,5.0,5.0,2.0,0.0
0.197,8.619,0.047,92.24,0.021,7.0,5.0,4.0,0.0
0.197,8.619,0.047,92.24,0.021,12.0,5.0,5.0,3.0
0.197,8.619,0.047,92.24,0.021,5.0,6.0,2.0,1.0
0.197,8.619,0.047,92.24,0.021,7.0,6.0,0.0,2.0
0.197,8.619,0.047,92.24,0.021,12.0,6.0,5.0,9.0
0.197,8.619,0.047,92.24,0.021,5.0,7.0,3.0,0.0
0.197,8.619,0.047,92.24,0.021,7.0,7.0,4.0,3.0
0.197,8.619,0.047,92.24,0.021,12.0,7.0,5.0,4.0
0.197,8.619,92.24,0.021,0.047,5.0,1.0,1.0,1.0
0.197,8.619,92.24,0.021,0.047,7.0,1.0,2.0,0.0
0.197,8.619,92.24,0.021,0.047,12.0,1.0,1.0,5.0
0.197,8.619,92.24,0.021,0.047,5.0,2.0,0.0,2.0
0.197,8.619,92.24,0.021,0.047,7.0,2.0,4.0,4.0
0.197,8.619,92.24,0.021,0.047,12.0,2.0,7.0,4.0
0.197,8.619,92.24,0.021,0.047,5.0,3.0,0.0,0.0
0.197,8.619,92.24,0.021,0.047,7.0,3.0,1.0,5.0
0.197,8.619,92.24,0.021,0.047,12.0,3.0,7.0,3.0
0.197,8.619,92.24,0.021,0.047,5.0,4.0,2.0,1.0
0.197,8.619,92.24,0.021,0.047,7.0,4.0,1.0,3.0
0.197,8.619,92.24,0.021,0.047,12.0,4.0,8.0,2.0
0.197,8.619,92.24,0.021,0.047,5.0,5.0,0.0,2.0
0.197,8.619,92.24,0.021,0.047,7.0,5.0,0.0,4.0
0.197,8.619,92.24,0.021,0.047,12.0,5.0,0.0,2.0
0.197,8.619,92.24,0.021,0.047,5.0,6.0,1.0,3.0
0.197,8.619,92.24,0.021,0.047,7.0,6.0,1.0,0.0
0.197,8.619,92.24,0.021,0.047,12.0,6.0,2.0,6.0
0.197,8.619,92.24,0.021,0.047,5.0,7.0,2.0,0.0
0.197,8.619,92.24,0.021,0.047,7.0,7.0,0.0,0.0
0.197,8.619,92.24,0.021,0.047,12.0,7.0,6.0,1.0
0.197,8.619,92.24,0.047,0.021,5.0,1.0,1.0,0.0
0.197,8.619,92.24,0.047,0.021,7.0,1.0,2.0,0.0
0.197,8.619,92.24,0.047,0.021,12.0,1.0,7.0,8.0
0.197,8.619,92.24,0.047,0.021,5.0,2.0,3.0,1.0
0.197,8.619,92.24,0.047,0.021,7.0,2.0,3.0,1.0
0.197,8.619,92.24,0.047,0.021,12.0,2.0,6.0,1.0
0.197,8.619,92.24,0.047,0.021,5.0,3.0,0.0,1.0
0.197,8.619,92.24,0.047,0.021,7.0,3.0,3.0,2.0
0.197,8.619,92.24,0.047,0.021,12.0,3.0,7.0,4.0
0.197,8.619,92.24,0.047,0.021,5.0,4.0,1.0,3.0
0.197,8.619,92.24,0.047,0.021,7.0,4.0,2.0,0.0
0.197,8.619,92.24,0.047,0.021,12.0,4.0,1.0,5.0
0.197,8.619,92.24,0.047,0.021,5.0,5.0,0.0,3.0
0.197,8.619,92.24,0.047,0.021,7.0,5.0,1.0,3.0
0.197,8.619,92.24,0.047,0.021,12.0,5.0,8.0,3.0
0.197,8.619,92.24,0.047,0.021,5.0,6.0,3.0,0.0
0.197,8.619,92.24,0.047,0.021,7.0,6.0,3.0,2.0
0.197,8.619,92.24,0.047,0.021,12.0,6.0,8.0,10.0
0.197,8.619,92.24,0.047,0.021,5.0,7.0,3.0,3.0
0.197,8.619,92.24,0.047,0.021,7.0,7.0,3.0,3.0
0.197,8.619,92.24,0.047,0.021,12.0,7.0,7.0,7.0
0.197,92.24,0.021,0.047,8.619,5.0,1.0,2.0,2.0
0.197,92.24,0.021,0.047,8.619,7.0,1.0,2.0,5.0
0.197,92.24,0.021,0.047,8.619,12.0,1.0,9.0,0.0
0.197,92.24,0.021,0.047,8.619,5.0,2.0,3.0,0.0
0.197,92.24,0.021,0.047,8.619,7.0,2.0,1.0,1.0
0.197,92.24,0.021,0.047,8.619,12.0,2.0,7.0,6.0
0.197,92.24,0.021,0.047,8.619,5.0,3.0,3.0,2.0
0.197,92.24,0.021,0.047,8.619,7.0,3.0,1.0,0.0
0.197,92.24,0.021,0.047,8.619,12.0,3.0,1.0,7.0
0.197,92.24,0.021,0.047,8.619,5.0,4.0,2.0,0.0
0.197,92.24,0.021,0.047,8.619,7.0,4.0,0.0,3.0
0.197,92.24,0.021,0.047,8.619,12.0,4.0,9.0,2.0
0.197,92.24,0.021,0.047,8.619,5.0,5.0,3.0,2.0
0.197,92.24,0.021,0.047,8.619,7.0,5.0,1.0,5.0
0.197,92.24,0.021,0.047,8.619,12.0,5.0,7.0,10.0
0.197,92.24,0.021,0.047,8.619,5.0,6.0,2.0,0.0
0.197,92.24,0.021,0.047,8.619,7.0,6.0,1.0,2.0
0.197,92.24,0.021,0.047,8.619,12.0,6.0,8.0,9.0
0.197,92.24,0.021,0.047,8.619,5.0,7.0,2.0,1.0
0.197,92.24,0.021,0.047,8.619,7.0,7.0,5.0,4.0
0.197,92.24,0.021,0.047,8.619,12.0,7.0,2.0,10.0
0.197,92.24,0.021,8.619,0.047,5.0,1.0,3.0,3.0
0.197,92.24,0.021,8.619,0.047,7.0,1.0,0.0,3.0
0.197,92.24,0.021,8.619,0.047,12.0,1.0,1.0,9.0
0.197,92.24,0.021,8.619,0.047,5.0,2.0,0.0,3.0
0.197,92.24,0.021,8.619,0.047,7.0,2.0,3.0,1.0
0.197,92.24,0.021,8.619,0.047,12.0,2.0,1.0,0.0
0.197,92.24,0.021,8.619,0.047,5.0,3.0,0.0,1.0
0.197,92.24,0.021,8.619,0.047,7.0,3.0,4.0,4.0
0.197,92.24,0.021,8.619,0.047,12.0,3.0,10.0,5.0
0.197,92.24,0.021,8.619,0.047,5.0,4.0,0.0,2.0
0.197,92.24,0.021,8.619,0.047,7.0,4.0,2.0,4.0
0.197,92.24,0.021,8.619,0.047,12.0,4.0,9.0,0.0
0.197,92.24,0.021,8.619,0.047,5.0,5.0,3.0,2.0
0.197,92.24,0.021,8.619,0.047,7.0,5.0,0.0,3.0
0.197,92.24,0.021,8.619,0.047,12.0,5.0,4.0,1.0
0.197,92.24,0.021,8.619,0.047,5.0,6.0,3.0,3.0
0.197,92.24,0.021,8.619,0.047,7.0,6.0,4.0,3.0
0.197,92.24,0.021,8.619,0.047,12.0,6.0,5.0,0.0
0.197,92.24,0.021,8.619,0.047,5.0,7.0,2.0,1.0
0.197,92.24,0.021,8.619,0.047,7.0,7.0,3.0,4.0
0.197,92.24,0.021,8.619,0.047,12.0,7.0,0.0,4.0
0.197,92.24,0.047,0.021,8.619,5.0,1.0,0.0,0.0
0.197,92.24,0.047,0.021,8.619,7.0,1.0,3.0,0.0
0.197,92.24,0.047,0.021,8.619,12.0,1.0,6.0,2.0
0.197,92.24,0.047,0.021,8.619,5.0,2.0,3.0,0.0
0.197,92.24,0.047,0.021,8.619,7.0,2.0,0.0,4.0
0.197,92.24,0.047,0.021,8.619,12.0,2.0,5.0,6.0
0.197,92.24,0.047,0.021,8.619,5.0,3.0,2.0,2.0
0.197,92.24,0.047,0.021,8.619,7.0,3.0,5.0,4.0
0.197,92.24,0.047,0.021,8.619,12.0,3.0,4.0,3.0
0.197,92.24,0.047,0.021,8.619,5.0,4.0,0.0,2.0
0.197,92.24,0.047,0.021,8.619,7.0,4.0,1.0,4.0
0.197,92.24,0.047,0.021,8.619,12.0,4.0,8.0,9.0
0.197,92.24,0.047,0.021,8.619,5.0,5.0,1.0,2.0
0.197,92.24,0.047,0.021,8.619,7.0,5.0,3.0,1.0
0.197,92.24,0.047,0.021,8.619,12.0,5.0,2.0,9.0
0.197,92.24,0.047,0.021,8.619,5.0,6.0,3.0,3.0
0.197,92.24,0.047,0.021,8.619,7.0,6.0,4.0,2.0
0.197,92.24,0.047,0.021,8.619,12.0,6.0,5.0,7.0
0.197,92.24,0.047,0.021,8.619,5.0,7.0,2.0,3.0
0.197,92.24,0.047,0.021,8.619,7.0,7.0,2.0,1.0
0.197,92.24,0.047,0.021,8.619,12.0,7.0,9.0,0.0
0.197,92.24,0.047,8.619,0.021,5.0,1.0,2.0,3.0
0.197,92.24,0.047,8.619,0.021,7.0,1.0,0.0,4.0
0.197,92.24,0.047,8.619,0.021,12.0,1.0,5.0,3.0
0.197,92.24,0.047,8.619,0.021,5.0,2.0,2.0,2.0
0.197,92.24,0.047,8.619,0.021,7.0,2.0,5.0,1.0
0.197,92.24,0.047,8.619,0.021,12.0,2.0,10.0,2.0
0.197,92.24,0.047,8.619,0.021,5.0,3.0,2.0,1.0
0.197,92.24,0.047,8.619,0.021,7.0,3.0,0.0,2.0
0.197,92.24,0.047,8.619,0.021,12.0,3.0,0.0,3.0
0.197,92.24,0.047,8.619,0.021,5.0,4.0,3.0,0.0
0.197,92.24,0.047,8.619,0.021,7.0,4.0,5.0,4.0
0.197,92.24,0.047,8.619,0.021,12.0,4.0,9.0,3.0
0.197,92.24,0.047,8.619,0.021,5.0,5.0,0.0,3.0
0.197,92.24,0.047,8.619,0.021,7.0,5.0,5.0,1.0
0.197,92.24,0.047,8.619,0.021,12.0,5.0,10.0,0.0
0.197,92.24,0.047,8.619,0.021,5.0,6.0,1.0,1.0
0.197,92.24,0.047,8.619,0.021,7.0,6.0,2.0,3.0
0.197,92.24,0.047,8.619,0.021,12.0,6.0,10.0,5.0
0.197,92.24,0.047,8.619,0.021,5.0,7.0,2.0,0.0
0.197,92.24,0.047,8.619,0.021,7.0,7.0,1.0,2.0
0.197,92.24,0.047,8.619,0.021,12.0,7.0,4.0,0.0
0.197,92.24,8.619,0.021,0.047,5.0,1.0,3.0,0.0
0.197,92.24,8.619,0.021,0.047,7.0,1.0,1.0,5.0
0.197,92.24,8.619,0.021,0.047,12.0,1.0,10.0,8.0
0.197,92.24,8.619,0.021,0.047,5.0,2.0,0.0,1.0
0.197,92.24,8.619,0.021,0.047,7.0,2.0,2.0,1.0
0.197,92.24,8.619,0.021,0.047,12.0,2.0,10.0,2.0
0.197,92.24,8.619,0.021,0.047,5.0,3.0,2.0,0.0
0.197,92.24,8.619,0.021,0.047,7.0,3.0,0.0,5.0
0.197,92.24,8.619,0.021,0.047,12.0,3.0,3.0,6.0
0.197,92.24,8.619,0.021,0.047,5.0,4.0,0.0,3.0
0.197,92.24,8.619,0.021,0.047,7.0,4.0,0.0,4.0
0.197,92.24,8.619,0.021,0.047,12.0,4.0,2.0,0.0
0.197,92.24,8.619,0.021,0.047,5.0,5.0,3.0,0.0
0.197,92.24,8.619,0.021,0.047,7.0,5.0,4.0,2.0
0.197,92.24,8.619,0.021,0.047,12.0,5.0,9.0,6.0
0.197,92.24,8.619,0.021,0.047,5.0,6.0,3.0,1.0
0.197,92.24,8.619,0.021,0.047,7.0,6.0,5.0,5.0
0.197,92.24,8.619,0.021,0.047,12.0,6.0,5.0,5.0
0.197,92.24,8.619,0.021,0.047,5.0,7.0,1.0,1.0
0.197,92.24,8.619,0.021,0.047,7.0,7.0,0.0,0.0
0.197,92.24,8.619,0.021,0.047,12.0,7.0,9.0,9.0
0.197,92.24,8.619,0.047,0.021,5.0,1.0,3.0,1.0
0.197,92.24,8.619,0.047,0.021,7.0,1.0,4.0,3.0
0.197,92.24,8.619,0.047,0.021,12.0,1.0,10.0,5.0
0.197,92.24,8.619,0.047,0.021,5.0,2.0,3.0,2.0
0.197,92.24,8.619,0.047,0.021,7.0,2.0,5.0,2.0
0.197,92.24,8.619,0.047,0.021,12.0,2.0,7.0,3.0
0.197,92.24,8.619,0.047,0.021,5.0,3.0,2.0,3.0
0.197,92.24,8.619,0.047,0.021,7.0,3.0,3.0,0.0
